Category;Artical number;Name;Barcode;Availability;RRP (€);Your price (€);Ordered;Manufacturer;Weight (kg);Dimensions (mm);Quantity per pack;url
3D pen accessories;G3D2009;3Dsimo Book for 3D drawing - basic (in English);8594177460658;180-299 ks;6;3,39;0;3Dsimo;0,4;260 * 210 * 6;50;https://com.cqe.cz/3dsimo-book-for-3d-drawing-basic-in-english/
3D pen accessories;G3D2006;3Dsimo book - advanced (in English);8594177460337;100-179 ks;20;12,12;0;3Dsimo;1,68;260 * 210 * 30;1;https://com.cqe.cz/3d-pen-accessory-3dsimo-book-english/
3DS accessories;NI3P010;3DS Bag;8595142712857;41-99 ks;;5,65;0;Nintendo;0,8;0 * 0 * 0;48;https://com.cqe.cz/3ds-bag/
Cables and adapters;HRF0005;Powkong Brickgeek Fast Charger;6978095910174;Release date 30.4.2026;27;16,62;0;Powkong;0,18;79 * 46.50 * 132;100;https://com.cqe.cz/powkong-brickgeek-fast-charger/
Cables and adapters;HRF0004;Powkong Vine multifunctional cabel;6978095910112;Release date 30.4.2026;14;8,94;0;Powkong;0,05;87 * 30 * 86.50;140;https://com.cqe.cz/powkong-vine-multifunctional-cabel/
Cases and Covers;HRF1300;FUNLAB Funcase for Switch2 - Red;6978095910273;Release date 30.4.2026;16;10,22;0;Funlab;0,3;295 * 144 * 55;60;https://com.cqe.cz/funlab-funcase-for-switch2-red/
Cases and Covers;HRF1301;FUNLAB Games Guardian Switch 2 Travel Case - Red;6978095910280;Release date 30.4.2026;41;25,59;0;Funlab;0,21;290 * 144 * 143;8;https://com.cqe.cz/funlab-games-guardian-switch-2-travel-case-red/
Cases and Covers;HRF1306;FUNLAB PS PORTAL bag With Iron Stamp (Black);6978095910631;Release date 30.4.2026;23;14,06;0;Funlab;0,42;260 * 120 * 50;24;https://com.cqe.cz/funlab-ps-portal-bag-with-iron-stamp-black/
Cases and Covers;HRF1305;FUNLAB PS PORTAL bag With Iron Stamp (White);6978095910648;Release date 30.4.2026;23;14,06;0;Funlab;0,42;260 * 120 * 50;24;https://com.cqe.cz/funlab-ps-portal-bag-with-iron-stamp-white/
Cases and Covers;HRF1002;FUNLAB Pro Switch Controller Case - Dave Ed.;6978095910228;Release date 30.4.2026;16;9,54;0;Funlab;0,24;176 * 93 * 150;36;https://com.cqe.cz/funlab-pro-switch-controller-case-dave-ed/
Cases and Covers;HRF1307;FUNLAB Pro Wireless Switch Controller Carry case;6978095910426;Release date 30.4.2026;14;8,94;0;Funlab;0,24;176 * 93 * 15;36;https://com.cqe.cz/funlab-pro-wireless-switch-controller-carry-case/
Cases and Covers;HRF1302;FUNLAB Snorlax Carrying Case for Nintendo Switch 2;6978095910136;Release date 30.4.2026;19;11,50;0;Funlab;0,21;290 * 140 * 43;60;https://com.cqe.cz/funlab-snorlax-carrying-case-for-nintendo-switch-2/
Cases and Covers;HRF1303;FUNLAB Switch 2 Carrying Case - Black;6978095910129;Release date 30.4.2026;16;10,22;0;Funlab;0,23;295 * 144 * 55;60;https://com.cqe.cz/funlab-switch-2-carrying-case-black/
Cases and Covers;HRF1304;FUNLAB Switch 2 Carrying Case - Black Iron Stamp;6978095910297;Release date 30.4.2026;21;12,78;0;Funlab;0,28;55 * 300 * 160;30;https://com.cqe.cz/funlab-switch-2-carrying-case-black-iron-stamp/
Cases and Covers;HRF1005;FUNLAB Switch 2 Dave Carrying Case(Color-Printed);6978095910259;Release date 30.4.2026;25;13,30;0;Funlab;0,28;55 * 300 * 160;30;https://com.cqe.cz/funlab-switch-2-dave-carrying-case-color-printed/
