Handle,Title,Vendor,Type,Variant Barcode,Variant Price,Variant Weight,Variant Weight Unit,Google Shopping / MPN,Variant Grams,Body (HTML),Image Src
N2S1305,NS2 Donkey Kong Bananza,Nintendo,Nintendo Switch 2 Games,45496312763,,"0,05",,N2S1305,,"<p><strong>Donkey Kong and his groundbreaking adventure!</strong></p>

<p>The big guy is back – Donkey Kong rushes to Nintendo Switch 2 with a completely new adventure!</p>

<p>Donkey Kong needs your help in the depths of the Underground World. The deeper you go, the more amazing places you'll discover!</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/DSBxFl3QY0s?si=hgMrZzWNs3P5Swzv"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Up and down, left and right</strong></p>

<p>There will be no shortage of things for DK to light up with his powerful punches and smash to dust. Fight your way through this truly destructive adventure!</p>

<p><strong>These villains are up to something!</strong></p>

<p>This mysterious group – known as VoidCo – has set their sights on something very valuable...</p>

<p>But no one should mess with Mr. DK's favorite food!</p>

<p><strong>Check out the golden bananas!</strong></p>

<p>Golden bananas?! Word has spread across the island that this delicious treasure has been discovered. But then something terrible happened!</p>

<p><strong>Who are VoidCo and what do they want?</strong></p>

<p>During this chaos, VoidCo stole all the banana bunches. Donkey Kong must now venture deep underground to get them back!</p>

<p><strong>DK finds a new buddy!</strong></p>

<p>Together they'll be hot on the trail of this mysterious VoidCo company...</p>

<p><strong>Will Donkey Kong get back all of his beloved bananas? You'll find out on June 5, 2025, when Donkey Kong Bananza releases on Nintendo Switch 2.</strong></p>",https://com.cqe.cz/gallery/1_66750/ns2-donkey-kong-bananza-default.jpg
NI3S7001,3DS Sushi Striker: The Way of Sushido,Nintendo,Nintendo 3DS games,45496477219,,"0,09",,NI3S7001,,"<h1>Ta největší jídelní bitva může začít!</h1>

<p>V těchto superrychlých soubojích u sushi dopravníků spojte stejně barevné talíře se sushi a hoďte na svého soupeře komín talířů. Čím více jich spojíte, tím vyšší bude i váš komín a tím silnější váš útok. Ubraňte svou domovinu od vetřelců v této puzzle akci, aby si vaši spoluobyvatelé mohli užívat delikátní sushi v klidu a míru. Nechť zvítězí ten nejlepší sushi samuraj!</p>

<p><strong>Vlastnosti:</strong></p>

<ul>
	<li>Pomocí dotykové obrazovky spojte talíře a vytvořte z nich komíny</li>
	<li>Spojování stejnobarevných talířů a komba vyústí ve vyšší komíny talířů a v silnější útoky</li>
	<li>Spojujte talíře do vzorců pro vyšší bonus. Čím víc nóbl sushi, tím silnější talíř.</li>
	<li>Házejte na soupeře štosy talířů.</li>
	<li>Poslední stojící sushi samuraj vítězí!</li>
</ul>",https://com.cqe.cz/gallery/1_38322/3ds-sushi-striker-the-way-of-sushido-default.jpg
NI3P010,3DS Bag,Nintendo,3DS accessories,8595142712857,,"0,8",,NI3P010,,"<p>&nbsp;</p>

<p>Velmi pìkný obal z nápisem Nintendo 3DS na pøední stranì.<br>
<br>
&nbsp;</p>

<p>&nbsp;</p>",https://com.cqe.cz/gallery/1_19898/3ds-bag-default.jpg
N2S0195,NS2 Animal Crossing: New Horizons - NS2 Edition,Nintendo,Nintendo Switch 2 Games,45496313715,,"0,05",,N2S0195,,Game for Nintendo Switch 2,https://com.cqe.cz/gallery/1_65925/ns2-animal-crossing-new-horizons-ns2-edition-default.jpg
N2S0612,NS2 Bravely Default: Flying Fairy HD Remaster,Nintendo,Nintendo Switch 2 Games,45496312503,,"0,05",,N2S0612,,"<p>Follow four Warriors of Light on a journey to restore the elemental crystals in the HD remaster of the Nintendo 3DS RPG masterpiece, BRAVELY DEFAULT. Experience an RPG that brings new depth to classic, turn-based battles with the introduction of the “Brave &amp; Default” system – featuring an array of options to customise your characters with over 20 unique jobs. The game also includes quality of life updates and two new minigames that leverage the dual mouse controls of Nintendo Switch 2.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/HLM1750OAjc?si=grdumT-Of_qUPsZY"" title=""YouTube video player"" width=""560""></iframe></p>

<p>BRAVELY DEFAULT FLYING FAIRY HD Remaster is launching on June 5th 2025 on Nintendo Switch 2.</p>",https://com.cqe.cz/gallery/1_64372/ns2-bravely-default-flying-fairy-hd-remaster-default.jpg
N2S3770,NS2 Kirby and the Forgotten Land+Star-Crossed WLD,Nintendo,Nintendo Switch 2 Games,45496312930,,"0,05",,N2S3770,,"<p><strong>Kirby's adventure continues on Nintendo Switch!</strong></p>

<p>Nintendo Switch 2 Edition will offer:</p>

<ul>
	<li>A brand new Star-Crossed World story</li>
	<li>Enhanced graphics and frame rate</li>
	<li>The Nintendo Switch game Kirby and the Forgotten Land</li>
</ul>

<p><em>Kirby and the Forgotten Land – Nintendo Switch 2 Edition + Star-Crossed World can only be played on Nintendo Switch 2 console.</em></p>

<p><em>If you already own Kirby and the Forgotten Land for Nintendo Switch, you only need to purchase the Upgrade Pack to play on Nintendo Switch 2.</em></p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/sYtu69lxTjE?si=sFSgqRU6OWTNP3sP"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Kirby embarks on a magical adventure!</strong></p>

<p>Explore 3D levels full of jumping in this mysterious world, rescue Waddle Dees, and face off against the fierce Beast Pack. Hopefully, you'll work up a big appetite during this adventure!</p>

<p><strong>Uncover the mystery of the meteorite!</strong></p>

<p>After the world is struck by a powerful meteorite, Kirby must use his amazing abilities, including several new Mouthful Modes, to complete levels in this unexplored territory.</p>

<p><strong>Kirby and the Forgotten Land – Nintendo Switch 2 Edition + Star-Crossed World will be released on August 28 on Nintendo Switch 2.</strong></p>",https://com.cqe.cz/gallery/1_64225/ns2-kirby-and-the-forgotten-land-star-crossed-wld-default.jpg
N2S2560,NS2 Hades II - Nintendo Switch 2 Edition,Nintendo,Nintendo Switch 2 Games,45496313234,,"0,07",,N2S2560,,Game for Nintendo Switch 2,https://com.cqe.cz/gallery/1_65642/ns2-hades-ii-nintendo-switch-2-edition-default.jpg
N2S4386,NS2 Mario Kart World,Nintendo,Nintendo Switch 2 Games,45496312329,,"0,05",,N2S4386,,"<p><strong>Start your engines and race through an expansive world! The racetrack is absolutely everywhere!</strong></p>

<p><strong>Vast world of tracks</strong></p>

<p>Drive through plains, cities, water areas, volcanoes, and many other locations. Here, everything is connected!</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/RLogERrKOrU?si=Ujg7J1CNQEieb-dR"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Go off the track</strong></p>

<p>Racing isn't just about the road. Drive off the track and race from a distance too!</p>

<p><strong>Modes:</strong></p>

<p><em>Grand Prix</em></p>

<ul>
	<li>Compete for the highest number of points on four connected tracks. Try to secure first place among 24 racers!</li>
	<li>The race includes the spaces between tracks!</li>
</ul>

<p><em>Knockout Tour</em></p>

<ul>
	<li>Drive through several tracks at once, but beware, there won't be time for pit stops!</li>
</ul>

<p><em>Free Roam</em></p>

<ul>
	<li>So where to next? It's up to you! Choose your next direction in this new game mode. Explore areas that catch your eye or take a photo at picturesque locations.</li>
</ul>

<p><strong>Play together</strong></p>

<p>Have fun with friends, whether they're with you or somewhere else!</p>

<ul>
	<li>Up to 4 players can race on a single console.</li>
	<li>You can control the game through button or motion controls. Connect your Joy-Con 2 controller to the Joy-Con 2 wheel accessory (sold separately) and get the feeling of real racing.</li>
	<li>You can also play using wirelessly connected Nintendo Switch Joy-Con controllers.</li>
</ul>

<p><strong>All together, anytime, anywhere</strong></p>

<p>Turn on GameChat and enjoy having your friends right beside you – even if they're on the other side of the world!</p>

<p>Talk using the console's built-in microphone or share your screen in real-time. If you connect a compatible USB-C camera, such as the Nintendo Switch 2 camera (sold separately), you can meet face-to-face through video chat.</p>

<p>Whether you're participating in a race or just browsing through the game world, you'll feel like you're driving together!</p>

<p><strong>Play as if you're really driving!</strong></p>

<p>Insert the Joy-Con 2 controller and enjoy proper fun with motion controls! Joy-Con 2 connects and disconnects easily thanks to magnetic connections.</p>

<p><strong>Bring everyone together from anywhere</strong></p>

<p>Show the world your gaming face in GameChat video chat with the Nintendo Switch 2 camera!</p>

<p><strong>Mario Kart World launches on June 5, 2025. A bundle with the Nintendo Switch 2 console will also be available.</strong></p>",https://com.cqe.cz/gallery/1_66746/ns2-mario-kart-world-default.jpg
N2S2902,NS2 Hyrule Warriors: Age of Imprisonment,Nintendo,Nintendo Switch 2 Games,45496313500,,"0,05",,N2S2902,,,https://com.cqe.cz/gallery/1_65483/ns2-hyrule-warriors-age-of-imprisonment-default.jpg
N2S3766,NS2 Kirby Air Riders,Nintendo,Nintendo Switch 2 Games,45496313142,,"0,05",,N2S3766,,"<p><strong>Ready, set, fight!</strong></p>

<p>Charge up, speed up, and spin into action against your opponents in Kirby Air Riders! This fast-paced vehicle action game for Nintendo Switch 2 features Kirby and his entire crew.</p>

<p><strong>Riders, get ready!</strong></p>

<p>Choose your rider, select your vehicle, and get ready to race! Compete against other opponents in wild arena battles or fast-paced races on land and in the air. Use the Boost Charge button to brake and handle turns better while trying to reach maximum speed. Fill up the Boost Charge gauge by drifting through turns and then release it for an explosive acceleration!</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/97bRRDU_5ZY?si=fkO3mbEey8e_Prdz"" title=""YouTube video player"" width=""560""></iframe></p>

<p>A wide range of riders will be available: Kirby, Meta Knight, King Dedede, and Magolor from Kirby’s Adventure Wii. You can choose from machines like the Warp Star, Wheelie Bike, Chariot, and many others. Each vehicle handles differently, and each rider has their own stats and special abilities – they can also take on the Copy Abilities of their enemies, giving them an edge in battle.</p>

<p><strong>Engage in diverse arena battles in City Trial mode</strong></p>

<p>Ride through the city of Skyah in City Trial mode. This battle is designed for up to 16 players, both online and locally. Explore Skyah to find better vehicles, collect power-ups, and survive unpredictable terrain events, from falling meteors to battles with powerful bosses.</p>

<p>After five minutes from the start, you and your opponents will compete in one of a variety of different stadium competitions, each with its own goal. These include drag races, battle arenas, skydiving, and more, so it's good to be prepared for anything!</p>

<p><strong>Race to the finish line in Air Ride</strong></p>

<p>If you prefer straightforward racing, try Air Ride – a frantic sprint where you face off against five other riders online or locally. Attack opponents or stay close behind them to collect stars. Alternatively, use the boosts they provide to defeat enemies and secure first place right at the finish line!</p>

<p><strong>Nintendo Music</strong></p>

<p>Selected music from Kirby Air Riders – including the main theme – is now available in the Nintendo Music app for smart devices.</p>",https://com.cqe.cz/gallery/1_65414/ns2-kirby-air-riders-default.jpg
